workspace,category,name,source,unit_or_type,value,description,interpretation
ros2_pendulum_ws,identity,workspace_path,repo,path,ros2_pendulum_ws,Workspace simulasi demo yang lebih mudah untuk menunjukkan swing-up dan balance,Cocok untuk uji visual dan alur GUI lama
ros2_pendulum_ws,identity,package,ROS 2 package,name,linear_inverted_pendulum_sim,Package utama untuk Gazebo Harmonic dan ROS 2 Jazzy,Launch dengan sim.launch.py
ros2_pendulum_ws,identity,serial_symlink,sim_serial_bridge.py,path,/tmp/pendulum_sim_serial,Pseudo serial yang dibaca GUI Python lama,Jalankan GUI dengan PENDULUM_PORT ke path ini
ros2_pendulum_ws,identity,gui_command,README,command,PENDULUM_PORT=/tmp/pendulum_sim_serial PENDULUM_NO_JOYSTICK=1 python3 main.py,Command GUI untuk terhubung ke simulasi,Gain default simulasi dipilih otomatis oleh main.py
ros2_pendulum_ws,model,base_length,URDF,m,1.00,Panjang base sesuai Manual Book LIP01,Data fisik visual dan collision
ros2_pendulum_ws,model,base_width,URDF,m,0.35,Lebar base sesuai Manual Book LIP01,Data fisik visual dan collision
ros2_pendulum_ws,model,travel,URDF,m,0.78,Travel kontrol rail,Kiri-kanan sekitar +/-0.39 m dari tengah
ros2_pendulum_ws,model,rail_limit,sim_serial_bridge.py,m,0.39,Batas posisi cart dalam controller,Digunakan untuk rail guard
ros2_pendulum_ws,model,cart_mass,sim_serial_bridge.py,kg,1.20,Massa cart pada model kontrol,Mempengaruhi gaya balance
ros2_pendulum_ws,model,pendulum_length,URDF,m,0.40,Panjang batang pendulum sesuai Manual Book,Batang D8 x 400 mm
ros2_pendulum_ws,model,pendulum_mass,sim_serial_bridge.py,kg,0.20,Massa pendulum sesuai Manual Book,Dipakai pada energi swing-up
ros2_pendulum_ws,model,pendulum_com,sim_serial_bridge.py,m,0.20,Jarak pusat massa dari engsel,Target energi memakai nilai ini
ros2_pendulum_ws,topic,/joint_states,Gazebo to ROS,sensor_msgs/JointState,cart_slider; pendulum_hinge,Posisi dan kecepatan joint dari Gazebo,Sumber state mentah controller
ros2_pendulum_ws,topic,/pendulum/cart_velocity_cmd,ROS topic,m/s,Float64,Setpoint kecepatan cart dari controller internal,Bukan command langsung ke Gazebo
ros2_pendulum_ws,topic,/pendulum/cart_force_cmd,ROS topic,N,Float64,Gaya yang dikirim ke joint cart_slider di Gazebo,Data penting untuk melihat saturasi gaya
ros2_pendulum_ws,topic,/pendulum/hinge_assist_force_cmd,ROS topic,Nm,Float64,Torsi bantuan simulasi pada engsel pendulum,Aktif dekat tegak saat balance_assist_enabled true
ros2_pendulum_ws,topic,/pendulum/sim_state,ROS topic,Float64MultiArray,"degree; cmX; setspeed; energy; theta_dot_rad; theta_rad; x_center_cm; mode",Data ringkas untuk analisis runtime,Topic utama untuk membaca keberhasilan swing-up dan balance
ros2_pendulum_ws,sim_state,degree,/pendulum/sim_state,deg,runtime,Sudut terhadap posisi atas,0 deg berarti pendulum tegak di atas dan +/-180 deg berarti di bawah
ros2_pendulum_ws,sim_state,cmX,/pendulum/sim_state,cm,runtime,Posisi cart dari tengah rail,Nilai besar berarti cart mendekati ujung rail
ros2_pendulum_ws,sim_state,setspeed,/pendulum/sim_state,cm/s,runtime,Command kecepatan cart yang sedang diminta controller,Tanda dan besar command menunjukkan arah dan agresivitas kontrol
ros2_pendulum_ws,sim_state,energy,/pendulum/sim_state,J,runtime,Energi pendulum yang dihitung controller,Naik saat swing-up membangun energi
ros2_pendulum_ws,sim_state,theta_dot_rad,/pendulum/sim_state,rad/s,runtime,Kecepatan sudut pendulum,Harus cukup kecil agar capture balance aman
ros2_pendulum_ws,sim_state,theta_rad,/pendulum/sim_state,rad,runtime,Sudut terhadap posisi atas dalam radian,0 rad berarti tegak di atas
ros2_pendulum_ws,sim_state,x_center_cm,/pendulum/sim_state,cm,runtime,Target tengah balance cart,Controller balance menahan cart dekat nilai ini
ros2_pendulum_ws,sim_state,mode,/pendulum/sim_state,enum,runtime,Mode controller saat ini,6 berarti SWING_UP dan 7 berarti BALANCE
ros2_pendulum_ws,serial_status,logtick,serial packet,ms,runtime,Waktu internal bridge yang dikirim ke GUI lewat status serial,Tidak masuk list /pendulum/sim_state karena topic membuang field pertama
ros2_pendulum_ws,mode,WAITING,controller enum,id,1,Menunggu start/packet GUI,Belum menggerakkan cart
ros2_pendulum_ws,mode,HOMING,controller enum,id,2,Cart diarahkan ke tengah rail,Diaktifkan dengan tombol Y
ros2_pendulum_ws,mode,READY,controller enum,id,3,Cart sudah homing dan siap,Mode sebelum swing-up
ros2_pendulum_ws,mode,SINE,controller enum,id,4,Mode test osilasi cart,Bukan metode utama swing-up
ros2_pendulum_ws,mode,FINISH,controller enum,id,5,Stop/finish dari GUI,Cart command nol
ros2_pendulum_ws,mode,SWING_UP,controller enum,id,6,Membangun energi pendulum,Diaktifkan dengan tombol X
ros2_pendulum_ws,mode,BALANCE,controller enum,id,7,Menahan pendulum dekat tegak,Masuk otomatis saat capture aman atau dipaksa tombol A
ros2_pendulum_ws,method,homing_pd,sim_serial_bridge.py,formula,2.8*error - 0.35*cart_v,PD posisi cart ke tengah,Metode sederhana sebelum swing-up
ros2_pendulum_ws,method,swing_up_energy,sim_serial_bridge.py,formula,Etarget=2*m*g*com,Kontrol energi untuk menaikkan pendulum dari bawah,Gerakan cart terlihat berayun tetapi bukan sinus fixed
ros2_pendulum_ws,method,lqr_catch,sim_serial_bridge.py,enabled,true,LQR catch aktif dekat posisi atas,Mengurangi kecepatan ayunan sebelum masuk balance
ros2_pendulum_ws,method,balance_control,sim_serial_bridge.py,type,LQR force feedback,State feedback memakai x; x_dot; theta; theta_dot,Ini metode balance utama karena balance_use_lqr true
ros2_pendulum_ws,method,balance_assist,sim_serial_bridge.py,type,hinge torque assist,Torsi kecil langsung di engsel hanya untuk simulasi,Membuat demo lebih mudah tegak daripada cart-only murni
ros2_pendulum_ws,parameter,status_rate_hz,sim_serial_bridge.py,Hz,100.0,Rate publish status dan sim_state,Semakin tinggi semakin rapat data runtime
ros2_pendulum_ws,parameter,cart_velocity_limit_mps,sim_serial_bridge.py,m/s,1.6,Batas command kecepatan cart,Membatasi setspeed
ros2_pendulum_ws,parameter,command_accel_limit_mps2,sim_serial_bridge.py,m/s^2,8.0,Batas perubahan command cart,Mengurangi lonjakan command
ros2_pendulum_ws,parameter,swing_gain,sim_serial_bridge.py,gain,1.85,Besar pumping energi swing-up,Semakin besar swing-up makin agresif
ros2_pendulum_ws,parameter,swing_centering_gain,sim_serial_bridge.py,gain,1.25,Penarik cart ke tengah saat swing-up,Mengurangi risiko mentok rail
ros2_pendulum_ws,parameter,swing_damping_gain,sim_serial_bridge.py,gain,0.35,Damping cart saat swing-up,Mengurangi gerak cart liar
ros2_pendulum_ws,parameter,swing_kick_mps,sim_serial_bridge.py,m/s,0.45,Kick awal saat pendulum diam di bawah,Membuat energy law punya arah awal
ros2_pendulum_ws,parameter,balance_capture_deg,sim_serial_bridge.py,deg,26.0,Jendela sudut untuk masuk balance,Lebih lebar daripada real workspace
ros2_pendulum_ws,parameter,balance_capture_rate_rad_s,sim_serial_bridge.py,rad/s,3.5,Batas theta_dot untuk capture,Mengizinkan capture lebih cepat
ros2_pendulum_ws,parameter,balance_capture_cart_pos_m,sim_serial_bridge.py,m,0.24,Batas posisi cart saat capture,Cart harus cukup dekat tengah
ros2_pendulum_ws,parameter,balance_capture_cart_vel_mps,sim_serial_bridge.py,m/s,1.30,Batas kecepatan cart saat capture,Cart tidak boleh terlalu cepat
ros2_pendulum_ws,parameter,balance_fallback_deg,sim_serial_bridge.py,deg,105.0,Batas kehilangan balance,Sudut lebih jauh membuat mode balik ke swing-up
ros2_pendulum_ws,parameter,lqr_catch_deg,sim_serial_bridge.py,deg,130.0,Area masuk LQR catch dekat atas,Catch mulai lebih awal
ros2_pendulum_ws,parameter,lqr_catch_rate_rad_s,sim_serial_bridge.py,rad/s,25.0,Batas theta_dot untuk LQR catch,Cukup permisif agar catch aktif
ros2_pendulum_ws,parameter,catch_force_limit_n,sim_serial_bridge.py,N,280.0,Batas gaya saat catch,Gaya besar untuk demo
ros2_pendulum_ws,parameter,balance_force_limit_n,sim_serial_bridge.py,N,340.0,Batas gaya saat balance,Gaya besar agar mudah menahan tegak
ros2_pendulum_ws,parameter,balance_use_lqr,sim_serial_bridge.py,bool,true,Memakai LQR sebagai balance utama,Gain GUI diterima tetapi bukan jalur utama saat true
ros2_pendulum_ws,parameter,balance_assist_enabled,sim_serial_bridge.py,bool,true,Assist engsel aktif secara default,Set false untuk eksperimen cart-only
ros2_pendulum_ws,parameter,balance_assist_angle_deg,sim_serial_bridge.py,deg,55.0,Area sudut assist aktif,Assist bekerja saat pendulum dekat tegak
ros2_pendulum_ws,parameter,balance_assist_kp_nm_per_rad,sim_serial_bridge.py,Nm/rad,1.8,Gain proporsional assist engsel,Mendorong sudut kembali ke 0
ros2_pendulum_ws,parameter,balance_assist_kd_nm_per_rad_s,sim_serial_bridge.py,Nm/(rad/s),0.38,Gain damping assist engsel,Meredam theta_dot
ros2_pendulum_ws,parameter,balance_assist_torque_limit_nm,sim_serial_bridge.py,Nm,2.4,Batas torsi assist engsel,Mencegah assist terlalu besar
ros2_pendulum_ws,parameter,velocity_servo_p,sim_serial_bridge.py,gain,80.0,Servo kecepatan cart ke gaya,Mengubah command m/s menjadi force
ros2_pendulum_ws,parameter,velocity_servo_i,sim_serial_bridge.py,gain,0.0,Integral servo kecepatan,Tidak dipakai default
ros2_pendulum_ws,parameter,velocity_servo_d,sim_serial_bridge.py,gain,4.0,Damping servo kecepatan,Mengurangi overshoot velocity servo
ros2_pendulum_ws,parameter,effort_limit_n,sim_serial_bridge.py,N,360.0,Batas gaya akhir ke cart,Nilai besar untuk simulasi mudah
